"","target.effect","orig.study.number","orig.N","orig.ES.type","orig.ES","orig.ES.CI","rep.N","rep.ES.type","rep.ES","rep.ES.CI","rep.study.number","rep.outcome","IVs","DVs","rep.type","rep.effort.type","rep.method.differences","rep.active.sample.evidence","other.outcomes","ES.description","EC.URL","orig.study.article.URL","orig.study.article.DOI","rep.study.article.URL","rep.open.data.URL","rep.open.materials.URL","rep.pre.reg.URL","orig.open.data.URL","orig.open.materials.URL","orig.pre.reg.URL","rep.population","discipline","orig.study.pub.year","reporting.standard.used","effect.description","design","statistical.effect.type","orig.test.statistic","orig.pvalue","rep.outcome.bayesian","orig.article.title","RPP.orig.untransformed.ES","RPP.rep.untransformed.ES","RPP.interpretation","RPP.study.number","study.order.CS","rep.num.in.set","social.priming","include.in.HTML.table","rep.num","x_crcited","x_altscore","rvCAN","x_altscore_pyear","x_crcited_pyear","rvCAN_pyear","orig.ES.CI.r","rvCAP","rvCAP_pyear","rvCApyN","orig.pvalue.numeric"
"246","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,108,"d","0.33","0.38","Hovermale & Joy-Gaba (2014,VCU)","no signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #140",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,"yes",246,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"247","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,96,"d","0.13","0.4","Swol (2014,Wisc)","no signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #141",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"no",247,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"248","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,102,"d","0.05","0.4","Wichman (2014,WKU)","no signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #142",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,"no",248,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"249","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,89,"d","0.26","0.43","Woodzicka (2014,WL)","no signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #143",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,"no",249,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"250","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,87,"d","0.42","0.43","John & Skorinko (2014,WPI)","no signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #144",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,"no",250,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"251","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,84,"d","0.12","0.44","Bernstein (2014,abington)","no signal - consistent","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #145",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"no",251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,120,"d","0.33","0.36","Pilati (2014,brasilia)","no signal - consistent","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #146",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"yes",252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,84,"d","0.36","0.44","Vranka (2014,Charles)","no signal - consistent","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #147",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"no",253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,95,"d","0.11","0.4","Nier (2014,Conncoll)","no signal - consistent","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #148",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"yes",254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,96,"d","0.12","0.4","Rutchick (2014,CSUN)","no signal - consistent","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #149",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"yes",255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,102,"d","0.14","0.4","Cheong (2014,Help)","no signal - consistent","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #150",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,"yes",256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,90,"d","0.07","0.42","Vaughn (2014,Ithaca)","no signal - consistent","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #151",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,"no",257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,174,"d","0.42","0.3","Kurtz (2014,JMU)","signal - consistent","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #152",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,"yes",258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,113,"d","-0.07","0.38","Cemalcilar (2014,KU)","no signal - consistent","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #153",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,"yes",259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,112,"d","0.3","0.38","Packard (2014,Laurier)","no signal - consistent","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #154",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,"yes",260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,277,"d","0.2","0.24","Kappes (2014,LSE)","no signal - consistent","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #155",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,"yes",261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,146,"d","0.31","0.33","Huntsinger & Mallett (2014,Luc)","no signal - consistent","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #156",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,"yes",262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,98,"d","0.67","0.42","Morris (2014,McDaniel)","signal - inconsistent, larger","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #157",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,"no",263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,85,"d","0.19","0.44","Furrow & Thompson (2014,MSVU)","no signal - consistent","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #158",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,"no",264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,1000,"d","0.46","0.12","Schmidt & Nosek (2014, MTURK)","signal - inconsistent, larger","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #159",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,"yes",265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,107,"d","0.66","0.4","Smith (2014,OSU)","signal - inconsistent, larger","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #160",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,"yes",266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,123,"d","0.14","0.36","Levitan (2014,Oxy)","no signal - consistent","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #161",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,"yes",267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,1329,"d","0.22","0.11","Schmidt & Nosek (2014,PI)","signal - consistent","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #162",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,"yes",268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,95,"d","0.64","0.42","Adams & Nelson (2014,PSU)","signal - inconsistent, larger","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #163",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,"no",269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,103,"d","0.29","0.39","Brumbaugh & Storbeck (2014,QCCUNY) Study 1","no signal - consistent","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #164",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,"yes",270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,86,"d","-0.1","0.43","Brumbaugh & Storbeck (2014,QCCUNY2) Study 2","no signal - consistent","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #165",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,"no",271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,162,"d","0.45","0.32","Devos (2014,SDSU)","signal - consistent","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #166",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,"yes",272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,79,"d","0.32","0.45","Bocian & Frankowska (2014,SWPS) Study 1","no signal - consistent","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #167",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,"no",273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,169,"d","0.27","0.3","Bocian & Frankowska (2014,SWPSON) Study 2","no signal - consistent","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #168",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,"yes",274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,187,"d","0.58","0.29","Davis & Hicks (2014,TAMU) Study 1","signal - inconsistent, larger","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #169",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,"yes",275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,87,"d","0.11","0.43","Hunt & Krueger (2014,TAMUC)","no signal - consistent","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #170",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,"no",276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,225,"d","0.3","0.26","Davis & Hicks (2014,TAMUON) Study 2","signal - consistent","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #171",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,"yes",277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","reciprocity norm effect","Hyman & Sheatsley (1950)",NA,"d",0.16,NA,80,"d","0.4","0.45","Brandt et al. (2014,Tilburg)","no signal - consistent","question order (allow US/N. Korean reporter into N. Korea/US first vs. vica versa)","allow US/N. Korean reporter into N. Korea/US (2 binary choices)","close","ML1 #172",NA,NA,NA,NA,NA,NA,NA,"http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,"no",278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
